,Condition,Drug,Indication,Type,Effective,EaseOfUse,Satisfaction
433,Bacterial Conjunctivitis,Sulfacetamide-Prednisolone,On Label,RX,3.5,5.0,3.5
434,Bacterial Conjunctivitis,Levofloxacin,On Label,RX,3.5,4.5,3.0
435,Bacterial Conjunctivitis,Neomycin-Bacitracin-Polymyxin,Off Label,RX,1.0,4.0,1.0
436,Bacterial Conjunctivitis,Sulfacetamide-Prednisolone,On Label,RX,1.0,2.0,1.0
437,Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,5.0,5.0,5.0
438,Bacterial Conjunctivitis,Azithromycin,On Label,RX,3.0,4.0,2.0
439,Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,1.0,1.0,1.0
440,Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,5.0,5.0,5.0
441,Bacterial Conjunctivitis,Sulfacetamide Sodium,On Label,RX,1.0,1.0,1.0
443,Bacterial Conjunctivitis,Levofloxacin,On Label,RX,4.0,5.0,5.0
444,Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,4.0,3.0,3.0
445,Bacterial Conjunctivitis,Erythromycin,Off Label,RX,5.0,5.0,5.0
446,Bacterial Conjunctivitis,Ofloxacin,On Label,RX,1.0,4.0,1.0
447,Bacterial Conjunctivitis,Bacitracin-Polymyxin B,Off Label,RX,1.0,1.0,1.0
448,Bacterial Conjunctivitis,Neomycin-Bacitracin-Polymyxin,Off Label,RX,1.0,2.0,1.0
449,Bacterial Conjunctivitis,Neomycin-Polymyxin-Gramicidin,Off Label,RX,1.0,5.0,1.0
450,Bacterial Conjunctivitis,Gentamicin-Prednisolone,On Label,RX,4.0,5.0,4.0
452,Bacterial Conjunctivitis,Gatifloxacin,On Label,RX,5.0,2.0,5.0
453,Bacterial Conjunctivitis,Besifloxacin,On Label,RX,3.0,5.0,3.0
454,Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,2.52,3.01,1.84
456,Bacterial Urinary Tract Infection,"Ciprofloxacin Hcl, Ciprofloxacin",On Label,RX,3.06,3.18,2.12
458,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.03,2.88,2.16
459,Bacterial Urinary Tract Infection,Nitrofurantoin Monohyd/M-Cryst,On Label,RX,2.82,2.86,1.98
460,Bacterial Urinary Tract Infection,Ciprofloxacin,On Label,RX,3.59,3.78,2.75
462,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.54,3.72,3.11
464,Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,3.26,3.23,2.42
467,Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,2.44,2.96,1.68
469,Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,2.93,3.47,2.24
470,Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,2.36,3.35,1.85
472,Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,2.85,3.14,2.18
473,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.95,3.2,2.14
474,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.19,3.25,2.28
476,Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,2.51,2.57,1.8
478,Bacterial Urinary Tract Infection,Doxycycline Calcium,On Label,RX,3.47,3.27,2.92
479,Bacterial Urinary Tract Infection,Minocycline,On Label,RX,3.07,3.65,2.38
481,Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,3.15,3.06,2.33
483,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.0,3.72,2.62
484,Bacterial Urinary Tract Infection,Amoxicillin-Pot Clavulanate,On Label,RX,2.74,3.04,2.12
488,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.0,2.83,2.38
490,Bacterial Urinary Tract Infection,Cefdinir,Off Label,RX,2.36,3.78,1.69
492,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.36,3.5,2.8
493,Bacterial Urinary Tract Infection,Cefuroxime Axetil,On Label,RX,3.23,3.62,2.85
495,Bacterial Urinary Tract Infection,Nitrofurantoin Monohyd/M-Cryst,On Label,RX,2.85,2.45,1.6
496,Bacterial Urinary Tract Infection,Nitrofurantoin Macrocrystal,On Label,RX,4.18,4.24,3.59
497,Bacterial Urinary Tract Infection,Fosfomycin Tromethamine,On Label,RX,4.06,4.79,4.0
498,Bacterial Urinary Tract Infection,Cefixime,On Label,RX,2.73,3.09,1.45
500,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.9,3.5,1.7
502,Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,3.32,3.58,3.0
503,Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,3.21,3.79,3.29
504,Bacterial Urinary Tract Infection,Ceftriaxone,On Label,RX,3.67,2.67,3.33
505,Bacterial Urinary Tract Infection,"Doxycycline Calcium, Doxycycline Hyclate, Doxycycline Monohydrate",On Label,RX,1.86,2.0,1.57
506,Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,4.0,3.71,2.43
507,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.82,3.91,3.27
508,Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,4.23,3.69,3.88
509,Bacterial Urinary Tract Infection,Cefadroxil,On Label,RX,2.64,3.36,2.07
510,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,3.36,2.45,2.73
511,Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,3.29,4.43,3.0
512,Bacterial Urinary Tract Infection,Minocycline,On Label,RX,3.22,3.22,2.56
513,Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,On Label,RX,3.57,3.43,3.0
514,Bacterial Urinary Tract Infection,Doxycycline Monohydrate,On Label,RX,3.91,4.45,4.0
515,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.5,2.0,1.25
516,Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,2.14,4.0,1.57
518,Bacterial Urinary Tract Infection,Ampicillin,On Label,RX,3.0,3.25,3.0
519,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.75,3.0,2.25
520,Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,3.33,4.0,2.17
523,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.67,2.67,2.67
524,Bacterial Urinary Tract Infection,Ceftriaxone,On Label,RX,5.0,5.0,5.0
525,Bacterial Urinary Tract Infection,Cefadroxil,On Label,RX,2.25,2.25,1.88
526,Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,2.5,2.5,2.5
527,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,2.0,2.33,1.67
528,Bacterial Urinary Tract Infection,Ofloxacin,On Label,RX,1.0,2.0,1.0
529,Bacterial Urinary Tract Infection,Ofloxacin,On Label,RX,1.0,3.0,1.0
530,Bacterial Urinary Tract Infection,Cefixime,On Label,RX,4.5,4.0,4.5
532,Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,2.33,2.0,2.33
533,Bacterial Urinary Tract Infection,Nitrofurantoin,On Label,RX,5.0,4.67,4.67
534,Bacterial Urinary Tract Infection,Cefepime,On Label,RX,3.0,5.0,2.5
535,Bacterial Urinary Tract Infection,Minocycline,On Label,RX,4.5,4.5,3.5
536,Bacterial Urinary Tract Infection,Imipenem-Cilastatin,On Label,RX,5.0,5.0,5.0
537,Bacterial Urinary Tract Infection,Levofloxacin,On Label,RX,5.0,5.0,5.0
538,Bacterial Urinary Tract Infection,Cefazolin,On Label,RX,2.5,2.5,1.0
539,Bacterial Urinary Tract Infection,Amikacin,On Label,RX,1.0,1.0,1.0
540,Bacterial Urinary Tract Infection,Levofloxacin In D5W,On Label,RX,1.0,3.0,1.0
541,Bacterial Urinary Tract Infection,Sulfadiazine,On Label,RX,5.0,4.0,5.0
542,Bacterial Urinary Tract Infection,"Cefepime In Dextrose,Iso-Osm",On Label,RX,5.0,5.0,5.0
543,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,5.0,2.0,2.0
544,Bacterial Urinary Tract Infection,Ceftazidime,On Label,RX,3.0,3.0,3.0
545,Bacterial Urinary Tract Infection,Acetohydroxamic Acid,On Label,RX,2.5,4.0,2.0
546,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,5.0,4.0,4.0
548,Bacterial Urinary Tract Infection,Aztreonam,On Label,RX,4.0,3.0,2.0
549,Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,4.5,3.0,3.0
550,Bacterial Urinary Tract Infection,Demeclocycline,On Label,RX,1.0,1.0,1.0
551,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.0,1.0,1.0
552,Bacterial Urinary Tract Infection,Levofloxacin In D5W,On Label,RX,2.0,4.0,1.0
553,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1.0,4.0,1.0
554,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1.0,1.0,1.0
555,Bacterial Urinary Tract Infection,Ceftazidime,On Label,RX,1.0,5.0,1.0
556,Bacterial Urinary Tract Infection,Streptomycin,On Label,RX,4.0,3.0,2.0
557,Bacterial Urinary Tract Infection,Fosfomycin Tromethamine,On Label,RX,5.0,5.0,5.0
558,Bacterial Urinary Tract Infection,"Ceftriaxone In Dextrose,Iso-Os",On Label,RX,5.0,5.0,5.0
559,Bacterial Urinary Tract Infection,Cefaclor,On Label,RX,3.0,5.0,4.0
560,Bacterial Urinary Tract Infection,Trimethoprim,On Label,RX,4.5,3.5,2.0
561,Bacterial Urinary Tract Infection,Demeclocycline,On Label,RX,1.0,5.0,1.0
562,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,1.0,1.5,1.0
563,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,2.0,2.0,2.0
564,Bacterial Urinary Tract Infection,Cefaclor,Off Label,RX,4.0,4.0,4.0
565,Bacterial Urinary Tract Infection,Sulfamethoxazole-Trimethoprim,On Label,RX,1.0,1.0,1.0
566,Bacterial Urinary Tract Infection,Ampicillin Sodium,On Label,RX,5.0,5.0,5.0
567,Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,2.0,5.0,1.0
569,Bacterial Urinary Tract Infection,Aztreonam,On Label,RX,3.0,2.0,3.0
570,Bacterial Urinary Tract Infection,Ciprofloxacin Hcl,Off Label,RX,5.0,5.0,5.0
571,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,4.0,5.0,4.0
572,Bacterial Urinary Tract Infection,Cefazolin In Dextrose (Iso-Os),On Label,RX,1.0,1.0,1.0
573,Bacterial Urinary Tract Infection,"Ceftriaxone In Dextrose,Iso-Os",On Label,RX,5.0,2.0,5.0
574,Bacterial Urinary Tract Infection,Ampicillin Sodium,On Label,RX,1.0,1.0,1.0
575,Bacterial Urinary Tract Infection,Ampicillin,On Label,RX,3.0,2.0,1.0
576,Bacterial Urinary Tract Infection,Cephalexin,On Label,RX,5.0,5.0,5.0
577,Bacterial Urinary Tract Infection,Imipenem-Cilastatin,On Label,RX,5.0,3.0,4.0
578,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,3.0,3.0,2.0
579,Bacterial Urinary Tract Infection,Cefuroxime Sodium,On Label,RX,5.0,5.0,5.0
580,Bacterial Urinary Tract Infection,Doxycycline Hyclate,On Label,RX,5.0,5.0,5.0
581,Bacterial Urinary Tract Infection,Cefepime,On Label,RX,4.0,2.0,4.0
583,Bacterial Urinary Tract Infection,Cefazolin In Dextrose (Iso-Os),On Label,RX,3.0,5.0,1.0
584,Bacterial Urinary Tract Infection,Ciprofloxacin In 5 % Dextrose,On Label,RX,1.0,1.0,1.0
585,biliary calculus,Ursodiol,On Label,RX,3.95,4.45,3.82
586,biliary calculus,Ursodiol,Off Label,RX,4.17,4.52,4.0
587,biliary calculus,Ursodiol,On Label,RX,4.57,4.71,4.29
588,biliary calculus,Ursodiol,Off Label,RX,4.38,4.13,4.5
589,chickenpox,Valacyclovir,On Label,RX,4.29,4.6,4.15
590,chickenpox,Valacyclovir,On Label,RX,3.96,4.16,3.61
591,chickenpox,Acyclovir,On Label,RX,4.25,3.5,3.75
592,chickenpox,Acyclovir Sodium,On Label,RX,5.0,4.5,5.0
593,colorectal cancer,Fluorouracil,On Label,RX,3.0,1.0,3.0
594,depression,Amitriptyline,On Label,RX,3.53,4.29,3.15
595,depression,Nortriptyline,On Label,RX,3.34,4.01,3.02
596,depression,Amitriptyline,On Label,RX,3.36,4.15,3.02
597,depression,Doxepin,On Label,RX,3.71,4.52,3.4
600,depression,Fluvoxamine,Off Label,RX,3.61,4.12,3.35
601,depression,Nortriptyline,On Label,RX,3.31,3.89,3.05
602,depression,Imipramine Hcl,On Label,RX,3.21,3.58,3.04
603,depression,Phenelzine,On Label,RX,4.36,4.28,4.2
604,depression,Fluvoxamine,Off Label,RX,3.83,4.07,3.59
605,depression,Clomipramine,Off Label,RX,3.71,3.89,3.29
606,depression,Clomipramine,Off Label,RX,3.67,4.18,3.39
607,depression,Fluvoxamine,Off Label,RX,3.73,4.33,3.7
609,depression,Desipramine,On Label,RX,3.18,4.53,2.88
610,depression,Amitriptyline,On Label,RX,2.8,3.9,2.4
611,depression,Doxepin,On Label,RX,3.13,4.0,3.0
613,depression,Desipramine,On Label,RX,4.0,4.23,3.46
614,depression,Imipramine Pamoate,On Label,RX,2.82,3.55,2.82
615,depression,Imipramine Pamoate,On Label,RX,3.45,4.45,3.0
616,depression,Nortriptyline,On Label,RX,3.0,4.0,2.88
617,depression,Protriptyline,On Label,RX,3.63,4.75,3.63
618,depression,Protriptyline,On Label,RX,3.33,4.5,3.5
619,depression,Maprotiline,On Label,RX,3.2,3.4,3.2
620,depression,Phenelzine,On Label,RX,3.0,3.5,2.5
621,depression,Maprotiline,On Label,RX,4.5,3.25,4.25
622,depression,Doxepin,On Label,RX,5.0,5.0,5.0
623,depression,Amoxapine,On Label,RX,4.0,5.0,3.5
624,depression,Amoxapine,On Label,RX,5.0,5.0,5.0
625,depression,Amitriptyline,On Label,RX,3.0,4.0,3.0
626,diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,3.9,3.22,3.11
627,diverticulitis of gastrointestinal tract,"Ciprofloxacin Hcl, Ciprofloxacin",Off Label,RX,3.06,3.18,2.12
629,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.03,2.88,2.16
630,diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,3.78,3.09,2.73
631,diverticulitis of gastrointestinal tract,Ciprofloxacin,Off Label,RX,3.59,3.78,2.75
633,diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,3.26,3.23,2.42
636,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.95,3.2,2.14
637,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.19,3.25,2.28
639,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.0,3.72,2.62
640,diverticulitis of gastrointestinal tract,Amoxicillin-Pot Clavulanate,Off Label,RX,2.74,3.04,2.12
644,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.0,2.83,2.38
646,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.9,3.5,1.7
648,diverticulitis of gastrointestinal tract,Piperacillin-Tazobactam,Off Label,RX,2.75,2.63,2.75
649,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,3.36,2.45,2.73
650,diverticulitis of gastrointestinal tract,Ciprofloxacin Hcl,Off Label,RX,3.57,3.43,3.0
651,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.5,2.0,1.25
652,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.75,3.0,2.25
653,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.67,2.67,2.67
654,diverticulitis of gastrointestinal tract,Meropenem,Off Label,RX,5.0,3.0,4.0
655,diverticulitis of gastrointestinal tract,Tigecycline,On Label,RX,3.0,2.33,2.67
656,diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,3.0,4.0,2.0
657,diverticulitis of gastrointestinal tract,Clindamycin Phosphate,Off Label,RX,4.5,4.0,4.0
658,diverticulitis of gastrointestinal tract,Amikacin,On Label,RX,1.0,1.0,1.0
659,diverticulitis of gastrointestinal tract,Ampicillin-Sulbactam,Off Label,RX,5.0,5.0,5.0
660,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,5.0,4.0,4.0
662,diverticulitis of gastrointestinal tract,Clindamycin In 5 % Dextrose,Off Label,RX,3.0,5.0,3.0
663,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1.0,4.0,1.0
664,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1.0,1.0,1.0
665,diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,3.0,3.0,3.0
666,diverticulitis of gastrointestinal tract,Clindamycin Phosphate,Off Label,RX,2.0,3.0,1.0
667,diverticulitis of gastrointestinal tract,Ampicillin-Sulbactam,Off Label,RX,1.0,5.0,1.0
668,diverticulitis of gastrointestinal tract,Metronidazole In Nacl (Iso-Os),Off Label,RX,1.0,1.0,1.0
669,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,1.0,1.0,1.0
670,diverticulitis of gastrointestinal tract,Sulfamethoxazole-Trimethoprim,Off Label,RX,2.0,2.0,2.0
672,diverticulitis of gastrointestinal tract,Metronidazole,Off Label,RX,5.0,3.0,4.0
673,diverticulitis of gastrointestinal tract,Ciprofloxacin In 5 % Dextrose,Off Label,RX,1.0,1.0,1.0
674,edema,Hydrochlorothiazide,On Label,RX,3.3,3.96,2.77
675,edema,Spironolactone,On Label,RX,3.88,4.36,3.5
676,edema,Furosemide,On Label,RX,3.05,4.16,2.97
678,edema,Furosemide,On Label,RX,3.21,4.01,2.99
680,edema,Triamterene-Hydrochlorothiazid,On Label,RX,3.88,4.24,3.45
681,edema,Acetazolamide,On Label,RX,3.52,3.41,2.97
682,edema,Acetazolamide,On Label,RX,3.69,3.27,2.81
683,edema,Spironolactone,On Label,RX,3.95,4.4,3.25
684,edema,Triamterene-Hydrochlorothiazid,On Label,RX,3.83,4.46,3.31
685,edema,Chlorthalidone,On Label,RX,3.02,3.9,2.25
686,edema,Torsemide,On Label,RX,3.85,4.1,3.1
687,edema,Triamterene-Hydrochlorothiazid,On Label,RX,3.46,4.21,3.18
688,edema,Bumetanide,On Label,RX,3.78,4.17,3.61
689,edema,Hydrochlorothiazide,On Label,RX,4.12,4.41,3.94
690,edema,Bumetanide,On Label,RX,4.0,4.5,3.63
691,edema,Spironolacton-Hydrochlorothiaz,On Label,RX,3.27,3.67,3.0
692,edema,Torsemide,On Label,RX,3.17,3.0,2.67
693,edema,Ethacrynic Acid,On Label,RX,4.33,4.0,3.0
694,edema,Spironolacton-Hydrochlorothiaz,On Label,RX,4.17,3.83,2.67
695,edema,Triamterene,On Label,RX,3.33,4.0,1.67
696,edema,Amiloride-Hydrochlorothiazide,On Label,RX,2.33,2.33,2.0
697,edema,Amiloride-Hydrochlorothiazide,On Label,RX,2.67,3.0,2.33
698,edema,Indapamide,On Label,RX,3.8,4.6,3.4
699,edema,Hydrochlorothiazide,On Label,RX,3.33,3.67,3.0
700,edema,Chlorothiazide,On Label,RX,3.0,5.0,3.0
701,edema,Furosemide,On Label,RX,2.0,5.0,1.0
702,edema,Triamterene-Hydrochlorothiazid,On Label,RX,3.0,5.0,3.0
703,edema,Chlorthalidone,On Label,RX,1.0,5.0,1.0
704,edema,Hydrochlorothiazide,On Label,RX,3.0,5.0,2.0
705,edema,Hydrochlorothiazide,On Label,RX,3.0,4.0,2.0
706,edema,"Triamterene-Hydrochlorothiazid, Trichlormethiazide",On Label,RX,2.0,1.0,1.0
707,edema,Triamterene-Hydrochlorothiazid,On Label,RX,2.0,1.0,1.0
708,edema,Spironolacton-Hydrochlorothiaz,On Label,RX,1.0,4.0,1.0
709,edema,Hydrochlorothiazide,On Label,RX,5.0,5.0,5.0
710,edema,Furosemide,On Label,RX,2.0,2.0,2.0
711,edema,Hydrochlorothiazide,On Label,RX,1.0,1.0,1.0
712,edema,Bumetanide,On Label,RX,1.0,2.0,1.0
713,edema,Hydrochlorothiazide,On Label,RX,5.0,5.0,4.0
714,edema,Chlorthalidone,On Label,RX,4.0,4.0,4.0
715,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.2,4.2,2.8
716,endometriosis,Medroxyprogesterone,Off Label,RX,4.36,4.22,2.5
717,endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,4.07,4.44,2.64
718,endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,3.69,4.13,2.58
719,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.06,4.06,2.33
720,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.14,4.26,2.79
721,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3.87,3.96,1.83
722,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.02,4.24,2.69
723,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.11,4.16,2.32
724,endometriosis,Medroxyprogesterone,Off Label,RX,4.1,4.0,2.41
726,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.1,4.46,2.85
727,endometriosis,Noreth-Ethinyl Estradiol-Iron,Off Label,RX,3.83,4.04,2.52
728,endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,4.39,4.35,3.08
729,endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,3.19,3.99,2.06
730,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.3,4.45,2.45
731,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.48,4.67,3.3
732,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,3.83,4.1,2.44
733,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,2.83,4.29,2.38
734,endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,4.58,4.34,3.13
735,endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,3.71,3.82,1.9
736,endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,3.11,3.55,1.38
737,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.65,4.09,2.53
738,endometriosis,Norethindrone Acetate,On Label,RX,3.81,4.33,3.5
739,endometriosis,Norgestrel-Ethinyl Estradiol,Off Label,RX,4.17,4.17,2.79
740,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.29,4.28,2.63
741,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.45,3.92,2.51
742,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.48,4.38,3.15
743,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.88,3.88,2.33
744,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.24,4.16,3.0
745,endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,4.09,4.27,2.77
746,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.08,3.95,2.4
747,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.43,4.35,2.53
748,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.52,4.36,2.8
749,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.2,4.0,2.66
750,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,4.5,4.42,3.17
751,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,3.94,4.51,2.66
752,endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,4.47,4.58,2.64
753,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.03,4.24,2.71
754,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.48,3.8,2.12
755,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.05,4.07,2.1
756,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.38,4.62,2.97
757,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.53,3.83,2.33
758,endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,3.62,4.21,2.26
759,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.1,4.67,3.33
760,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,2.64,2.58,1.31
761,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.68,3.95,2.27
762,endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,4.31,4.06,2.13
763,endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.32,4.28,2.84
764,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,3.39,3.96,2.22
765,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.5,4.75,3.5
766,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.52,4.19,2.0
767,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.76,4.71,2.94
768,endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.08,4.46,3.62
769,endometriosis,Danazol,On Label,RX,3.38,3.88,3.38
770,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,4.4,3.93,2.53
771,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.88,4.82,4.47
772,endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,3.58,4.0,3.08
773,endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,4.0,4.71,2.43
774,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,3.92,4.08,3.54
775,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,4.28,3.72,2.83
776,endometriosis,Norethin-E.Estradiol Triphasic,Off Label,RX,4.38,4.13,3.5
777,endometriosis,Norgestimate-Ethinyl Estradiol,Off Label,RX,3.36,3.27,1.64
778,endometriosis,Norethindrone Ac-Eth Estradiol,Off Label,RX,4.7,4.7,2.9
779,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.64,3.82,2.73
782,endometriosis,L Norgest/E.Estradiol-E.Estrad,Off Label,RX,3.33,4.33,1.17
783,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.67,4.5,4.5
784,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,5.0,4.92,3.58
785,endometriosis,Norethindrone-E.Estradiol-Iron,Off Label,RX,4.17,4.17,2.25
786,endometriosis,Levonorgestrel-Ethinyl Estrad,Off Label,RX,3.92,4.08,3.42
787,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.5,4.38,3.63
788,endometriosis,Norethindrone-Ethin Estradiol,Off Label,RX,4.75,4.38,3.13
789,endometriosis,Levonorg-Eth Estrad Triphasic,Off Label,RX,4.45,4.55,2.55
